Campaign,Ad_Set,Ad_Id,Gender,Location,Age_Target,Start_date,End_date,Amount_Spent_$,Reach,Impressions,Results,Cost_Per_Result,Frequncy,Post_Engagement,Post_Comments,Post_Shares,Post_Likes,Follows_Likes,Clicks,Cpc_$,Ctr
brand awarness,June,AD_469151,Female,"Chicago,Illinois",25-35,2022-06-09,2022-07-02,19.42484611810319,582,814,173,0.11228234750348665,1,508,72,182,254,169,162,0.11990645751915549,0.19901719901719903
website traffic,June,AD_468873,Female,"New York City, New York",18-25,2022-06-27,2022-07-24,29.400137498832876,882,1234,140,0.21000098213452054,1,771,110,275,386,257,246,0.11951275406029624,0.1993517017828201
website traffic,May,AD_468860,Female,"Houston, Texas",45-60,2022-05-27,2022-05-30,14.79467746890128,443,620,183,0.0808452320704988,3,387,55,138,194,129,124,0.11931191507178453,0.2
generate leads,June,AD_469055,Male,"Los Angeles, California",60+,2022-06-23,2022-07-19,84.73947211170173,2542,3558,196,0.432344245467866,2,2223,317,794,1112,741,711,0.11918350507974927,0.19983136593591905
brand awarness,June,AD_469197,Male,"Chicago,Illinois",25-35,2022-06-02,2022-06-08,11.165885458792657,334,467,183,0.0610157675343861,1,291,41,104,146,97,93,0.12006328450314685,0.19914346895074947
brand awarness,July,AD_469136,Female,"Los Angeles, California",25-35,2022-07-02,2022-07-14,53.41959083336842,1602,2242,42,1.271895019842105,1,1401,200,500,701,467,448,0.11924015811019736,0.19982158786797502
brand awarness,June,AD_469297,Male,"New York City, New York",18-25,2022-06-11,2022-06-28,58.86910259277827,1766,2472,94,0.6262670488593433,3,1545,220,552,773,515,494,0.11916822387202079,0.19983818770226539
brand awarness,May,AD_469145,Male,"New York City, New York",18-25,2022-05-10,2022-05-27,21.202207664359065,636,890,146,0.14522060044081553,1,556,79,199,278,185,178,0.11911352620426441,0.2
website traffic,June,AD_468805,Female,"Houston, Texas",18-25,2022-06-23,2022-07-21,59.919368382784725,1797,2515,143,0.4190165621173757,2,1571,224,561,786,523,503,0.11912399280871715,0.2
brand awarness,July,AD_469355,Male,"New York City, New York",35-40,2022-07-25,2022-08-21,44.9632605272451,1348,1887,145,0.31009145191203513,1,1179,168,421,590,393,377,0.11926594304309045,0.1997880233174351
brand awarness,May,AD_469288,Male,"Houston, Texas",45-60,2022-05-03,2022-05-23,97.48480927080999,2924,4093,189,0.5157926416444973,3,2558,365,914,1279,852,818,0.11917458346064791,0.19985340825800146
brand awarness,June,AD_469181,Female,"Houston, Texas",60+,2022-06-17,2022-07-01,16.48728103186723,494,691,150,0.10991520687911487,1,431,61,154,216,143,138,0.11947305095555964,0.19971056439942114
brand awarness,July,AD_469113,Female,"New York City, New York",45-60,2022-07-01,2022-07-24,22.13810820548054,664,929,84,0.26354890720810165,1,580,82,208,290,193,185,0.11966544975935427,0.1991388589881593
website traffic,July,AD_468891,Male,"Houston, Texas",60+,2022-07-16,2022-08-14,57.638836870409776,1729,2420,195,0.2955837788226142,2,1512,216,540,756,504,484,0.1190885059305987,0.2
generate leads,July,AD_469081,Male,"Phoenix, Arizona",45-60,2022-07-16,2022-08-05,28.75910220031664,862,1206,66,0.43574397273207033,2,753,107,269,377,251,241,0.11933237427517278,0.1998341625207297
generate leads,June,AD_468998,Male,"Phoenix, Arizona",45-60,2022-06-05,2022-06-14,51.834178607630975,1555,2177,83,0.6245081759955539,2,1360,194,486,680,453,435,0.11915903128191029,0.1998162609095085
brand awarness,June,AD_469319,Male,"Los Angeles, California",25-35,2022-06-14,2022-07-05,75.72624914929816,2271,3179,34,2.227242622038181,2,1986,283,710,993,662,635,0.11925393566818607,0.19974834853727588
generate leads,July,AD_469042,Female,"Chicago,Illinois",35-40,2022-07-05,2022-07-13,40.053543568428054,1201,1681,63,0.6357705328321913,3,1050,150,375,525,350,336,0.11920697490603588,0.1998810232004759
brand awarness,June,AD_469330,Female,"Los Angeles, California",25-35,2022-06-09,2022-06-11,13.077702937935193,392,548,174,0.07515921228698387,3,342,48,123,171,114,109,0.11997892603610269,0.1989051094890511
generate leads,June,AD_469026,Female,"Houston, Texas",45-60,2022-06-23,2022-07-11,96.72345460993962,2901,4061,85,1.1379229954110543,3,2538,362,907,1269,846,812,0.11911755493834929,0.19995075104654025
brand awarness,May,AD_469256,Male,"Los Angeles, California",25-35,2022-05-22,2022-06-04,67.14175122454279,2014,2819,82,0.8188018442017413,1,1761,251,629,881,587,563,0.11925710697076872,0.19971621142249024
brand awarness,June,AD_469193,Male,"Houston, Texas",18-25,2022-06-11,2022-07-01,93.48546901903286,2804,3925,82,1.1400666953540592,1,2453,350,876,1227,817,785,0.11908976945099728,0.2
brand awarness,June,AD_469326,Male,"New York City, New York",18-25,2022-06-25,2022-07-13,13.97586907494717,419,586,86,0.1625101055226415,1,366,52,131,183,122,117,0.11945187243544589,0.19965870307167236
generate leads,May,AD_469053,Male,"Los Angeles, California",45-60,2022-05-01,2022-05-15,88.5056101378602,2655,3716,165,0.5363976371991528,3,2322,331,830,1161,774,743,0.11911925994328426,0.19994617868675996
brand awarness,June,AD_469364,Female,"New York City, New York",45-60,2022-06-22,2022-06-29,35.02449496450324,1050,1470,127,0.27578342491734836,3,918,131,328,459,306,294,0.11913093525341238,0.2
website traffic,June,AD_468788,Male,"Los Angeles, California",25-35,2022-06-21,2022-06-27,91.01154601245614,2730,3821,140,0.6500824715175438,1,2388,341,853,1194,796,764,0.11912506022572793,0.1999476576812353
brand awarness,May,AD_469254,Male,"New York City, New York",35-40,2022-05-03,2022-05-30,96.20971283846441,2886,4040,24,4.008738034936017,2,2525,360,902,1263,841,808,0.11907142678027774,0.2
website traffic,May,AD_468838,Male,"Houston, Texas",35-40,2022-05-07,2022-05-30,39.26693720593684,1178,1649,93,0.4222251312466327,1,1030,147,368,515,343,329,0.11935239272321228,0.19951485748938752
brand awarness,June,AD_469367,Female,"Los Angeles, California",60+,2022-06-02,2022-06-08,41.1600616470884,1234,1727,51,0.8070600322958509,2,1079,154,385,540,359,345,0.1193045265132997,0.1997683844817603
generate leads,May,AD_469013,Male,"Chicago,Illinois",18-25,2022-05-10,2022-05-13,11.786589157064034,353,494,108,0.10913508478762994,1,308,44,110,154,102,98,0.12027131792922484,0.19838056680161945
brand awarness,June,AD_469226,Male,"Los Angeles, California",18-25,2022-06-06,2022-06-30,45.95480313754834,1378,1929,172,0.267179088009002,3,1205,172,430,603,401,385,0.11936312503259308,0.19958527734577503
brand awarness,June,AD_469294,Female,"Chicago,Illinois",60+,2022-06-10,2022-06-16,40.68383871052296,1220,1708,89,0.45712178326430297,3,1067,152,381,534,355,341,0.11930744489889432,0.1996487119437939
generate leads,June,AD_469029,Male,"Chicago,Illinois",25-35,2022-06-01,2022-06-22,51.85230666093828,1555,2177,146,0.35515278534889233,3,1360,194,486,680,453,435,0.11920070496767421,0.1998162609095085
generate leads,July,AD_468999,Male,"Chicago,Illinois",25-35,2022-07-26,2022-07-29,65.04486671445927,1951,2731,64,1.0163260424134262,2,1706,243,610,853,568,546,0.11912979251732468,0.19992676675210547
website traffic,May,AD_468863,Female,"Phoenix, Arizona",35-40,2022-05-18,2022-06-16,45.26632521317046,1357,1899,33,1.3717068246415292,3,1186,169,424,593,395,379,0.11943621428277167,0.19957872564507637
generate leads,June,AD_469065,Male,"New York City, New York",35-40,2022-06-29,2022-07-23,40.47039217428604,1214,1699,187,0.21641920948816065,3,1061,151,379,531,353,339,0.11938168782975234,0.19952913478516773
brand awarness,May,AD_469289,Female,"New York City, New York",35-40,2022-05-30,2022-06-27,83.23258876434839,2496,3494,132,0.6305499148814272,1,2183,311,780,1092,727,698,0.11924439651052779,0.19977103606182026
generate leads,July,AD_468956,Male,"Los Angeles, California",18-25,2022-07-20,2022-08-04,45.31730619804461,1359,1902,101,0.44868619998063974,3,1188,169,425,594,396,380,0.11925606894222267,0.19978969505783387
brand awarness,July,AD_469283,Female,"Phoenix, Arizona",25-35,2022-07-06,2022-07-14,88.85507673967382,2665,3730,135,0.6581857536272134,1,2331,333,832,1166,777,746,0.11910868195666732,0.2
website traffic,June,AD_468834,Female,"Houston, Texas",18-25,2022-06-15,2022-06-23,26.979401034605907,809,1132,69,0.39100581209573776,2,707,101,252,354,235,226,0.11937788068409694,0.19964664310954064
brand awarness,May,AD_469198,Male,"New York City, New York",60+,2022-05-09,2022-05-31,17.67094382347739,530,742,134,0.13187271510057755,2,463,66,165,232,154,148,0.11939826907754994,0.19946091644204852
brand awarness,May,AD_469317,Female,"Los Angeles, California",35-40,2022-05-19,2022-06-17,55.31260191489051,1659,2322,151,0.36630862195291725,1,1451,207,518,726,483,464,0.1192081937820916,0.19982773471145565
website traffic,July,AD_468845,Male,"Houston, Texas",18-25,2022-07-26,2022-08-19,53.667180710507736,1610,2254,84,0.6388950084584254,3,1408,201,503,704,469,450,0.11926040157890608,0.19964507542147295
website traffic,July,AD_468823,Male,"New York City, New York",25-35,2022-07-04,2022-07-16,33.71915978088595,1011,1415,150,0.2247943985392397,3,884,126,316,442,294,283,0.11914897449076309,0.2
website traffic,May,AD_468899,Male,"Houston, Texas",25-35,2022-05-09,2022-06-01,12.177710878280065,365,510,50,0.2435542175656013,3,318,45,114,159,106,102,0.11938932233607907,0.2
brand awarness,June,AD_469327,Female,"Los Angeles, California",25-35,2022-06-28,2022-07-20,14.638199600169381,439,614,26,0.5630076769295915,2,383,54,137,192,127,122,0.11998524262433918,0.1986970684039088
website traffic,July,AD_468932,Male,"Los Angeles, California",25-35,2022-07-27,2022-08-03,16.13556295576271,484,677,100,0.16135562955762708,3,423,60,151,212,141,135,0.11952268856120525,0.19940915805022155
website traffic,June,AD_468871,Female,"Los Angeles, California",35-40,2022-06-09,2022-06-13,84.8179486933084,2544,3561,89,0.9530106594753752,2,2225,317,795,1113,741,712,0.1191263324344219,0.19994383600112328
brand awarness,May,AD_469284,Female,"Los Angeles, California",25-35,2022-05-03,2022-05-30,29.118153697073275,873,1222,33,0.8823682938507053,1,763,109,272,382,254,244,0.1193366954798085,0.19967266775777415
website traffic,May,AD_468841,Male,"Los Angeles, California",25-35,2022-05-21,2022-06-12,20.89178674198981,626,876,105,0.1989693975427601,2,547,78,195,274,182,175,0.11938163852565607,0.1997716894977169
generate leads,June,AD_469082,Male,"Los Angeles, California",35-40,2022-06-27,2022-06-30,53.12352036103136,1593,2230,194,0.273832579180574,1,1393,199,497,697,464,446,0.11911103219962188,0.2
brand awarness,June,AD_469265,Male,"Chicago,Illinois",25-35,2022-06-17,2022-06-23,86.64314420266342,2599,3638,90,0.9627016022518158,2,2273,324,812,1137,757,727,0.11917901540944074,0.19983507421660252
brand awarness,July,AD_469357,Male,"Los Angeles, California",35-40,2022-07-08,2022-07-10,45.66701801642561,1370,1917,38,1.2017636320112002,2,1198,171,428,599,399,383,0.11923503398544545,0.19979134063641105
website traffic,July,AD_468820,Male,"Phoenix, Arizona",45-60,2022-07-23,2022-08-16,35.390354852292745,1061,1485,189,0.18725055477403568,3,928,132,332,464,309,297,0.11915944394711361,0.2
generate leads,May,AD_469073,Female,"Los Angeles, California",25-35,2022-05-22,2022-06-14,55.825611859008106,1674,2343,164,0.34040007231102504,3,1464,209,523,732,488,468,0.119285495425231,0.1997439180537772
brand awarness,July,AD_469361,Female,"Houston, Texas",18-25,2022-07-18,2022-08-01,12.724954710956741,381,533,86,0.14796458966228768,2,333,47,119,167,111,106,0.12004674255619567,0.19887429643527205
brand awarness,May,AD_469140,Male,"Los Angeles, California",18-25,2022-05-23,2022-06-10,92.5768846980175,2777,3887,98,0.9446620887552806,1,2429,347,867,1215,809,777,0.11914656975291826,0.19989709287368151
brand awarness,May,AD_469169,Male,"Houston, Texas",25-35,2022-05-18,2022-06-15,83.4630571870384,2503,3504,107,0.7800285718414804,3,2190,312,783,1095,730,700,0.11923293883862629,0.1997716894977169
brand awarness,July,AD_469155,Female,"Los Angeles, California",18-25,2022-07-29,2022-08-14,29.924867971265463,897,1255,68,0.4400715878127274,1,784,112,280,392,261,251,0.11922258155882655,0.2
generate leads,May,AD_468976,Male,"Phoenix, Arizona",25-35,2022-05-05,2022-05-08,29.851447177167557,895,1253,126,0.23691624743783776,1,783,111,280,392,261,250,0.11940578870867023,0.19952114924181963
brand awarness,May,AD_469213,Male,"New York City, New York",18-25,2022-05-14,2022-06-09,22.417260152436093,672,940,175,0.12809862944249195,2,587,83,210,294,195,188,0.11924074549168134,0.2
website traffic,June,AD_468801,Male,"New York City, New York",60+,2022-06-10,2022-06-13,63.46550970011208,1903,2664,58,1.0942329258640013,2,1665,237,595,833,555,532,0.11929607086487233,0.1996996996996997
brand awarness,May,AD_469118,Female,"Los Angeles, California",18-25,2022-05-25,2022-05-30,65.7434242555949,1972,2760,188,0.3496990651893346,3,1725,246,616,863,575,552,0.1191004062601357,0.2
brand awarness,July,AD_469247,Male,"Los Angeles, California",35-40,2022-07-19,2022-08-03,55.78486569365846,1673,2342,94,0.5934560180176432,3,1463,209,522,732,487,468,0.11919843096935569,0.19982920580700256
brand awarness,May,AD_469191,Male,"Phoenix, Arizona",25-35,2022-05-01,2022-05-22,37.79142286102279,1133,1586,70,0.5398774694431827,3,991,141,354,496,330,317,0.11921584498745359,0.19987389659520807
brand awarness,July,AD_469100,Male,"Chicago,Illinois",25-35,2022-07-12,2022-07-15,63.88764406788775,1916,2682,198,0.3226648690297361,2,1676,239,599,838,558,536,0.11919336579829803,0.19985085756897839
website traffic,June,AD_468812,Male,"Los Angeles, California",35-40,2022-06-24,2022-07-20,43.302846697716035,1299,1818,76,0.5697742986541584,2,1136,162,406,568,378,363,0.11929158869894224,0.19966996699669967
website traffic,June,AD_468910,Male,"Chicago,Illinois",35-40,2022-06-26,2022-06-30,20.592314990138618,617,863,28,0.7354398210763792,1,539,77,192,270,179,172,0.11972276157057336,0.1993047508690614
generate leads,June,AD_469019,Male,"New York City, New York",60+,2022-06-09,2022-06-13,56.60681813806342,1698,2377,148,0.38247850093286095,1,1485,212,530,743,495,475,0.11917224871171246,0.19983172065628943
brand awarness,July,AD_469259,Female,"Chicago,Illinois",18-25,2022-07-04,2022-07-07,84.28009339279991,2528,3539,72,1.1705568526777765,1,2211,315,790,1106,737,707,0.11920805288939167,0.19977394744278046
generate leads,June,AD_468990,Female,"New York City, New York",60+,2022-06-21,2022-07-07,70.28599234271832,2108,2951,172,0.40863949036464137,3,1844,263,659,922,614,590,0.1191288005808785,0.19993222636394442
brand awarness,May,AD_469379,Male,"Houston, Texas",45-60,2022-05-17,2022-06-10,60.41009228005495,1812,2536,30,2.0136697426684984,1,1585,226,566,793,528,507,0.11915205577920109,0.1999211356466877
generate leads,May,AD_469016,Male,"Phoenix, Arizona",18-25,2022-05-18,2022-06-15,70.75183019996635,2122,2970,34,2.0809361823519517,2,1856,265,663,928,618,594,0.1191108252524686,0.2
brand awarness,June,AD_469369,Female,"Chicago,Illinois",35-40,2022-06-05,2022-06-13,19.502796303391346,585,819,138,0.1413246108941402,2,511,73,182,256,170,163,0.11964905707602053,0.199023199023199
website traffic,June,AD_468919,Male,"New York City, New York",18-25,2022-06-09,2022-06-25,58.61134746015869,1758,2461,138,0.4247199091315847,1,1538,219,550,769,512,492,0.11912875500032254,0.1999187322226737
brand awarness,July,AD_469299,Female,"Los Angeles, California",18-25,2022-07-29,2022-07-31,35.67120540637913,1070,1498,90,0.3963467267375459,1,936,133,335,468,312,299,0.11930169032233823,0.19959946595460615
brand awarness,June,AD_469228,Female,"Los Angeles, California",25-35,2022-06-10,2022-07-07,51.38988910066108,1541,2157,120,0.4282490758388423,1,1348,192,482,674,449,431,0.1192340814400489,0.1998145572554474
website traffic,July,AD_468826,Male,"New York City, New York",35-40,2022-07-25,2022-08-20,66.09192354934513,1982,2774,23,2.873561893449788,1,1733,247,619,867,577,554,0.1192995009915977,0.19971160778658975
brand awarness,May,AD_469368,Male,"Chicago,Illinois",18-25,2022-05-04,2022-05-18,27.94753469145574,838,1173,142,0.19681362458771648,1,733,104,262,367,244,234,0.11943390893784504,0.19948849104859334
website traffic,June,AD_468803,Male,"Chicago,Illinois",18-25,2022-06-22,2022-07-02,67.98175157920429,2039,2854,120,0.566514596493369,3,1783,254,637,892,594,570,0.11926623084070927,0.1997196916608269
brand awarness,May,AD_469110,Male,"New York City, New York",18-25,2022-05-13,2022-06-10,36.74845761729801,1102,1542,82,0.4481519221621708,2,963,137,344,482,321,308,0.11931317408213639,0.19974059662775617
website traffic,May,AD_468909,Male,"Phoenix, Arizona",18-25,2022-05-03,2022-05-11,72.42462442249868,2172,3040,102,0.7100453374754773,3,1900,271,679,950,633,608,0.1191194480633202,0.2
website traffic,May,AD_468889,Male,"New York City, New York",35-40,2022-05-29,2022-06-09,96.47288165897014,2894,4051,76,1.2693800218285545,3,2531,361,904,1266,843,810,0.11910232303576561,0.1999506294742039
brand awarness,May,AD_469338,Male,"Los Angeles, California",35-40,2022-05-12,2022-05-24,42.398542992169354,1271,1779,87,0.4873395746226363,2,1111,158,397,556,370,355,0.11943251547089959,0.1995503091624508
generate leads,May,AD_468962,Female,"Los Angeles, California",45-60,2022-05-23,2022-06-02,23.662100343396787,709,992,62,0.38164677973220623,3,620,88,222,310,206,198,0.11950555728988277,0.19959677419354838
brand awarness,June,AD_469343,Male,"Los Angeles, California",35-40,2022-06-04,2022-06-08,13.856681249330538,415,581,127,0.1091077263726814,1,363,51,130,182,121,116,0.11945414870112533,0.19965576592082615
generate leads,June,AD_468963,Female,"Chicago,Illinois",25-35,2022-06-02,2022-07-01,39.64927598919121,1189,1664,99,0.4004977372645577,1,1040,148,372,520,346,332,0.11942553008792534,0.19951923076923078
generate leads,July,AD_469044,Male,"Houston, Texas",25-35,2022-07-08,2022-08-04,35.72265249263731,1071,1499,23,1.5531588040277091,2,936,133,335,468,312,299,0.11947375415597762,0.19946631087391595
brand awarness,July,AD_469189,Male,"Los Angeles, California",60+,2022-07-20,2022-07-24,64.46241683651068,1933,2706,178,0.36214840919388025,1,1691,241,604,846,563,541,0.1191541900859717,0.1999260901699926
generate leads,May,AD_469045,Male,"New York City, New York",25-35,2022-05-30,2022-06-19,62.276939852369246,1868,2615,194,0.321015153878192,3,1634,233,584,817,544,523,0.11907636683053394,0.2
website traffic,June,AD_468862,Female,"Phoenix, Arizona",35-40,2022-06-22,2022-06-28,76.35020350445923,2290,3206,142,0.5376774894680227,1,2003,286,715,1002,667,641,0.11911108191023281,0.19993761696818466
generate leads,May,AD_469001,Female,"Chicago,Illinois",35-40,2022-05-12,2022-06-06,81.44606422919152,2443,3420,46,1.7705666136780764,1,2137,305,763,1069,712,684,0.11907319331753147,0.2
brand awarness,June,AD_469291,Male,"Los Angeles, California",45-60,2022-06-21,2022-07-10,47.25320456228556,1417,1983,106,0.44578494870080715,1,1239,177,442,620,413,396,0.11932627414718576,0.19969742813918306
brand awarness,June,AD_469370,Female,"Los Angeles, California",18-25,2022-06-02,2022-06-24,83.8994620999035,2516,3522,110,0.7627223827263955,1,2201,314,786,1101,733,704,0.1191753723009993,0.19988642816581487
website traffic,May,AD_468926,Male,"Houston, Texas",18-25,2022-05-25,2022-06-03,91.20906300961596,2736,3830,106,0.8604628585812827,3,2393,341,855,1197,797,766,0.11907188382456392,0.2
brand awarness,May,AD_469175,Female,"Chicago,Illinois",25-35,2022-05-10,2022-05-30,51.29328194657976,1538,2153,158,0.3246410249783529,3,1345,192,480,673,448,430,0.11928670220134828,0.19972131908964236
brand awarness,June,AD_469160,Male,"New York City, New York",25-35,2022-06-09,2022-06-11,16.213597804294782,486,680,77,0.2105662052505816,1,425,60,152,213,141,136,0.11921763091393223,0.2
brand awarness,July,AD_469306,Male,"New York City, New York",35-40,2022-07-18,2022-07-21,68.38340406130567,2051,2871,59,1.159040746801791,1,1794,256,641,897,598,574,0.11913485028102033,0.19993033786137235
brand awarness,May,AD_469290,Male,"New York City, New York",25-35,2022-05-15,2022-05-20,99.72254176027614,2991,4187,103,0.9681800170900596,1,2616,373,935,1308,872,837,0.11914282169686517,0.19990446620492
website traffic,July,AD_468884,Female,"Los Angeles, California",60+,2022-07-25,2022-08-15,62.240992139176235,1867,2613,112,0.5557231440997878,2,1633,233,583,817,544,522,0.1192356171248587,0.1997703788748565
brand awarness,June,AD_469263,Male,"Los Angeles, California",35-40,2022-06-15,2022-06-30,75.14951973090156,2254,3155,169,0.4446717143840329,3,1971,281,704,986,657,631,0.11909591082551753,0.2
brand awarness,July,AD_469109,Female,"Chicago,Illinois",35-40,2022-07-24,2022-08-13,76.63140608699612,2298,3217,148,0.5177797708580819,3,2010,287,718,1005,670,643,0.11917792548521948,0.19987566055331055
brand awarness,June,AD_469333,Male,"Houston, Texas",18-25,2022-06-29,2022-07-16,56.16240827001813,1684,2357,182,0.30858466082427544,1,1473,210,526,737,491,471,0.1192407818896351,0.19983029274501485
website traffic,July,AD_468814,Male,"Los Angeles, California",25-35,2022-07-05,2022-07-27,49.70757714992629,1491,2087,51,0.9746583754887507,3,1304,186,466,652,434,417,0.11920282290150189,0.1998083373263057
generate leads,June,AD_468951,Male,"New York City, New York",35-40,2022-06-20,2022-07-12,28.832686516770703,864,1209,174,0.16570509492396956,3,755,107,270,378,251,241,0.11963770338909005,0.19933829611248965
brand awarness,July,AD_469366,Male,"Los Angeles, California",18-25,2022-07-25,2022-08-09,97.69822829756109,2930,4102,69,1.4159163521385665,3,2563,366,915,1282,854,820,0.11914418085068425,0.19990248659190638
generate leads,July,AD_468974,Female,"Houston, Texas",18-25,2022-07-23,2022-08-08,58.128695454419145,1743,2440,121,0.48040244177205904,3,1525,217,545,763,508,488,0.1191161792098753,0.2
brand awarness,July,AD_469093,Male,"New York City, New York",25-35,2022-07-08,2022-08-05,16.336048202276352,490,686,131,0.12470265803264391,3,428,61,153,214,142,137,0.11924122775384198,0.19970845481049562
brand awarness,June,AD_469298,Female,"New York City, New York",25-35,2022-06-19,2022-07-16,33.44328743914585,1003,1404,170,0.1967252202302697,1,877,125,313,439,292,280,0.11944031228266375,0.19943019943019943
generate leads,May,AD_469046,Female,"Phoenix, Arizona",25-35,2022-05-13,2022-05-17,51.02372617206614,1530,2142,169,0.3019155394796813,1,1338,191,478,669,446,428,0.11921431348613584,0.19981325863678806
brand awarness,June,AD_469316,Male,"Houston, Texas",18-25,2022-06-19,2022-07-07,14.332344338434897,429,600,87,0.16473959009695283,1,375,53,134,188,125,120,0.11943620282029081,0.2
brand awarness,May,AD_469130,Male,"Chicago,Illinois",45-60,2022-05-17,2022-05-31,54.3647207953844,1630,2282,113,0.4811037238529593,1,1426,203,510,713,475,456,0.11922087893724649,0.19982471516213848
brand awarness,July,AD_469150,Male,"Los Angeles, California",18-25,2022-07-13,2022-07-21,19.91697294426237,597,835,174,0.11446536174863431,1,521,74,186,261,173,167,0.11926331104348724,0.2
website traffic,May,AD_468917,Female,"Phoenix, Arizona",18-25,2022-05-20,2022-06-07,37.776475809869055,1133,1586,32,1.180514869058408,1,991,141,354,496,330,317,0.11916869340652698,0.19987389659520807
website traffic,June,AD_468936,Female,"New York City, New York",35-40,2022-06-06,2022-06-23,33.336775582988075,1000,1400,109,0.30584197782557865,2,875,125,312,438,291,280,0.11905991279638599,0.2
website traffic,May,AD_468836,Female,"New York City, New York",18-25,2022-05-16,2022-06-13,19.21063292709474,576,806,30,0.640354430903158,2,503,71,180,252,167,161,0.11932070141052634,0.19975186104218362
brand awarness,May,AD_469280,Male,"Los Angeles, California",35-40,2022-05-21,2022-05-22,85.72889133215784,2571,3599,154,0.5566811125464795,1,2249,321,803,1125,749,719,0.1192335067206646,0.19977771603223118
brand awarness,May,AD_469313,Male,"New York City, New York",35-40,2022-05-01,2022-05-06,85.05158874088184,2551,3571,93,0.9145332122675467,2,2231,318,797,1116,743,714,0.11911987218610902,0.19994399327919352
brand awarness,May,AD_469303,Male,"Chicago,Illinois",25-35,2022-05-22,2022-06-18,62.937051294714585,1888,2643,35,1.7982014655632739,1,1651,235,590,826,550,528,0.11919896078544429,0.19977298524404086
brand awarness,May,AD_469212,Male,"Houston, Texas",60+,2022-05-20,2022-06-03,65.7634118111574,1972,2760,166,0.3961651313925144,1,1725,246,616,863,575,552,0.11913661559992282,0.2
brand awarness,May,AD_469158,Male,"Chicago,Illinois",45-60,2022-05-03,2022-05-30,28.665568774841603,859,1202,166,0.17268414924603376,3,751,107,268,376,250,240,0.11943986989517334,0.19966722129783693
generate leads,June,AD_468992,Male,"Los Angeles, California",60+,2022-06-09,2022-06-18,61.91626783703149,1857,2599,131,0.4726432659315381,2,1624,232,580,812,541,519,0.11929916731605297,0.1996921893035783
generate leads,July,AD_469033,Male,"New York City, New York",35-40,2022-07-06,2022-07-11,31.003162476419025,930,1302,94,0.329820877408713,3,813,116,290,407,271,260,0.11924293260161163,0.19969278033794163
generate leads,July,AD_469014,Female,"New York City, New York",60+,2022-07-17,2022-08-06,38.113948797439974,1143,1600,49,0.7778356897436729,3,1000,142,358,500,333,320,0.11910608999199992,0.2
brand awarness,June,AD_469168,Male,"Chicago,Illinois",45-60,2022-06-12,2022-06-17,44.599406324951964,1337,1871,157,0.2840726517512864,2,1169,167,417,585,389,374,0.11924974953195712,0.1998931052912881
brand awarness,July,AD_469285,Male,"Chicago,Illinois",18-25,2022-07-28,2022-08-11,11.607905753900647,348,487,181,0.06413207598840137,2,304,43,109,152,101,97,0.11966913148351183,0.19917864476386038
generate leads,May,AD_469063,Male,"Phoenix, Arizona",25-35,2022-05-17,2022-06-13,24.63796322760828,739,1034,37,0.665890898043467,1,646,92,231,323,215,206,0.11960176324081691,0.19922630560928434
generate leads,May,AD_469008,Female,"Houston, Texas",18-25,2022-05-02,2022-05-22,81.73911571676778,2452,3432,132,0.6192357251270286,1,2145,306,766,1073,715,686,0.11915322990782476,0.1998834498834499
brand awarness,July,AD_469287,Male,"New York City, New York",25-35,2022-07-23,2022-08-12,39.19841463915277,1175,1645,154,0.25453515999449855,1,1028,146,368,514,342,329,0.11914411744423335,0.2
website traffic,May,AD_468931,Male,"New York City, New York",18-25,2022-05-09,2022-05-25,77.56447098879143,2326,3256,64,1.211944859199866,2,2035,290,727,1018,678,651,0.11914665282456441,0.19993857493857495
generate leads,June,AD_468953,Male,"Houston, Texas",25-35,2022-06-16,2022-06-23,48.12335542167045,1443,2020,63,0.7638627844709596,3,1262,180,451,631,420,404,0.1191172163902734,0.2
generate leads,July,AD_468979,Male,"Los Angeles, California",25-35,2022-07-23,2022-08-21,18.128572624757943,543,760,60,0.30214287707929904,3,475,67,170,238,158,152,0.1192669251628812,0.2
website traffic,June,AD_468813,Male,"Los Angeles, California",60+,2022-06-04,2022-06-14,55.506839726035345,1665,2331,62,0.8952716084844411,1,1456,208,520,728,485,466,0.11911338997003293,0.19991419991419992
generate leads,June,AD_468982,Male,"Los Angeles, California",45-60,2022-06-09,2022-06-21,15.394677355658779,461,645,86,0.17900787622859046,1,403,57,144,202,134,129,0.11933858415239364,0.2
website traffic,May,AD_468929,Female,"Houston, Texas",35-40,2022-05-16,2022-06-12,80.42812233012688,2412,3376,41,1.9616615202469971,1,2110,301,754,1055,703,675,0.1191527738224102,0.19994075829383887
brand awarness,May,AD_469201,Male,"Phoenix, Arizona",18-25,2022-05-07,2022-05-26,64.39446313892978,1931,2703,43,1.4975456543937158,3,1689,241,603,845,563,540,0.11924900581283293,0.1997780244173141
website traffic,July,AD_468819,Male,"Houston, Texas",25-35,2022-07-15,2022-07-20,92.67980616920912,2780,3891,183,0.5064470282470444,1,2431,347,868,1216,810,778,0.11912571487044873,0.19994859933179132
brand awarness,July,AD_469224,Male,"Chicago,Illinois",45-60,2022-07-25,2022-08-22,74.2323589408714,2226,3116,157,0.4728175728717924,2,1947,278,695,974,649,623,0.119153064110548,0.19993581514762515
